21zephyr1.tf, 2 TFVT,
21zephyr2.tf, 1 TFVT,
adam.tf, 3 TFVT,
africaone.tf, 2 TFVT,
aliforall.tf, 1 TFVT,
andreic.tf, 2 TFVT,
andreig.tf, 4 TFVT,
andrew.tf, 2 TFVT,
avamvotes.tf, 4 TFVT,
azadhalim.tf, 3 TFVT,
beth.tf, 5 TFVT,
bigironbp.tf, 3 TFVT,
bryan.tf, 3 TFVT,
cata.tf, 5 TFVT,
chenli111.tf, 3 TFVT,
chijioke.tf, 1 TFVT,
cj.tf, 3 TFVT,
craig.tf, 5 TFVT,
danieluzc.tf, 4 TFVT,
danjlazor.tf, 1 TFVT,
douglas.tf, 5 TFVT,
dutcheos1.tf, 4 TFVT,
dutcheos2.tf, 4 TFVT,
dutcheos3.tf, 4 TFVT,
ed.tf, 5 TFVT,
eosimpera.tf, 1 TFVT,
fieldy.tf, 1 TFVT,
hassaneos.tf, 1 TFVT,
ianpnchvr.tf, 2 TFVT,
infinidi.tf, 3 TFVT,
jakobthe1.tf, 2 TFVT,
james.tf, 5 TFVT,
jerry.tf, 5 TFVT,
jesse.tf, 5 TFVT,
jimhewitt.tf, 4 TFVT,
johnhauge.tf, 4 TFVT,
jorgeferr.tf, 3 TFVT,
josh.tf, 4 TFVT,
jowenstny.tf, 2 TFVT,
jr.tf, 5 TFVT,
jrjackson.tf, 1 TFVT,
jt.tf, 5 TFVT,
justinbr.tf, 1 TFVT,
justingiu.tf, 5 TFVT,
justnbuck.tf, 3 TFVT,
kevinq.tf, 1 TFVT,
kottanakk.tf, 1 TFVT,
mada.tf, 5 TFVT,
markcohen.tf, 3 TFVT,
marlon.tf, 5 TFVT,
mauricest.tf, 2 TFVT,
msaumstls.tf, 3 TFVT,
msegurola.tf, 3 TFVT,
pairmike1.tf, 1 TFVT,
peter.tf, 5 TFVT,
phil.tf, 2 TFVT,
raluca.tf, 1 TFVT,
ram.tf, 3 TFVT,
robajames.tf, 2 TFVT,
robrigo.tf, 4 TFVT,
rogdavies.tf, 4 TFVT,
sean.tf, 1 TFVT,
sebi.tf, 4 TFVT,
sukeshted.tf, 4 TFVT,
sunshine.tf, 3 TFVT,
swedencor.tf, 4 TFVT,
tcrp11111122, 1 TFVT,
tcrp11111553, 2 TFVT,
tcrp11112252, 1 TFVT,
tcrp11112332, 1 TFVT,
telosfanatic, 2 TFVT,
tjbullock.tf, 2 TFVT,
vihogrefe.tf, 1 TFVT,
whodat5o4.tf, 2 TFVT,
zahidhdee.tf, 1 TFVT
